companyName,profileUrl,location,logoUrl,companyType,revenue,establishedYear,description,isVerified
Moroso Performance Products,https://www.thomasnet.com/company/moroso-performance-products-30732603/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=12,"Guilford, CT 06437",/_sda/_next/image?url=https%3A%2F%2Freports.thomasnet.com%2Ftnetdash%2Flogos%2Fmorosoperformanceproducts.PNG&w=256&q=75,"Custom Manufacturer* , Distributor, Manufacturer",$25 - 49.9 Mil Revenue,,Custom manufacturer & distributor of access doors made from 0.050 in. aluminum. Specifications of access doors include 6 in. x 6 in. door size & 8 1/8 in. x 8 1/8 in. overall size. Doors are available with mounting hardware & self-ejecting & flush-head fasteners. Access doors are used with dry sump tanks & fuel cells.,No
"Comefri USA, Inc.",https://www.thomasnet.com/company/comefri-usa-inc-30083075/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Hopkinsville, KY 42240",/_sda/_next/image?url=https%3A%2F%2Freports.thomasnet.com%2Ftnetdash%2Flogos%2Fcomefriusainc.png&w=256&q=75,Manufacturer*,$25 - 49.9 Mil Revenue,1998.0,"Manufacturer of centrifugal fans for commercial applications. Products include single or double inlet, axial, and plenum fans. Inspection doors, feet, drain plugs, flanges, and base frames are offered. Isolators, belt guards, enclosure protection, piezo rings, and pivoting motor bases are also available. Lab testing and logistics services are provided. Custom options are available.",No
EVS Metal,https://www.thomasnet.com/company/evs-metal-10056834/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10056834%2F204666.jpg&w=256&q=75,"Custom Manufacturer* , Service Company",$25 - 49.9 Mil Revenue,1994.0,"ISO 9001:2015 certified custom manufacturer of cabinet doors made from steel, stainless steel, sheet metal, and aluminum materials. Polishing, graining, and deburring are offered as secondary services. Serves aerospace, automotive, electronics, energy, food, military, medical, oil, and other industries. ITAR registered.",No
AHT,https://www.thomasnet.com/company/aht-30857316/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Ft Myers, FL 33913",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30857316%2F352489.png&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor",$1 - 4.9 Mil Revenue,2013.0,"Manufacturer of security, hurricane, and storm protection shutters. Awnings, cabanas, accordion doors, pergolas, bug or solar screens, sunscreens, and windows are offered. Custom gutters are also provided. Serves architects and contractors.",No
Way Out West Inc.,https://www.thomasnet.com/company/way-out-west-inc-30759220/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Gardena, CA 90249",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30759220%2F378533.JPG&w=256&q=75,"Custom Manufacturer* , Service Company",$1 - 4.9 Mil Revenue,1979.0,Custom manufacturer of vinyl cargo doors for the airline industry. Lean manufacturing capable. Made in the USA.,No
Takura Steel Buildings,https://www.thomasnet.com/company/takura-steel-buildings-30983188/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Toronto, ON M4S3E2",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30983188%2F371432.png&w=256&q=75,"Custom Manufacturer* , Distributor, Turnkey Systems Integrator, Manufacturer",,2012.0,"Custom manufacturer of overhead, rolling steel, and sectional architectural doors. Provides security, precise installation, and locking mechanism. Suitable for warehouse, garage, industrial facility, and agricultural building applications.",No
Cardinal Carryor,https://www.thomasnet.com/company/cardinal-carryor-1025106/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Louisville, KY 40213",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F01025106%2F321328.jpg&w=256&q=75,"Distributor* , Custom Manufacturer, Manufacturer, Service Company",$10 - 24.9 Mil Revenue,1968.0,"Distributor of doors made from stainless steel, polyvinyl chloride (PVC), and vinyl materials. Impact swinging, strip, single sliding, and wire Dutch, sliding, or hinge doors are offered. Suitable for coolers, freezers, restaurants, grocery stores, warehouses, and office applications.",No
"WSF Industries, Inc.",https://www.thomasnet.com/company/wsf-industries-inc-373582/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Buffalo, NY 14217",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00373582%2F54390.jpg&w=256&q=75,"Custom Manufacturer* , Manufacturer",$5 - 9.9 Mil Revenue,1941.0,"Manufacturer of standard and custom quick acting doors with horizontal, vertical, and side slides. Made from carbon steel, stainless steel, nickel, and Inconel®. Available in horizontal and vertical configurations and mechanical pressure indicating device (MPID) interlocking option. Suitable for tanks, vessels, cylinders, autoclaves, and pressure and vacuum enclosures. Meets ASME standards.",No
Dutchess Millwork,https://www.thomasnet.com/company/dutchess-millwork-10079374/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Salt Point, NY 12578",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10079374%2F269649.png&w=256&q=75,Custom Manufacturer*,$1 - 4.9 Mil Revenue,1976.0,"Custom manufacturer of handmade wooden doors used as panels to secure house parts such as windows, walls, and floors. Suitable for homes, historic restorations, landmarks, and churches.",No
TruProtect,https://www.thomasnet.com/company/truprotect-30234226/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Lubbock, TX 79424",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30234226%2F287556.jpg&w=256&q=75,"Manufacturer* , Custom Manufacturer",$1 Mil Revenue,2004.0,"Manufacturer of RF, EMP, EMI, and infrared shielding doors for commercial applications. Protects sensitive electronic equipment and data. Suitable for SCIF rooms, data and command centers, and bunkers. Meets ASTM standards. UL listed. Made in the USA.",No
US Duct,https://www.thomasnet.com/company/us-duct-30727127/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Kernersville, NC 27285",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30727127%2F327990.png&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor",$50 - 99.9 Mil Revenue,2013.0,"Manufacturer of standard and custom cleanout doors made from steel and stainless steel materials. Available in 6 to 18 in. length and 8 to 20 in. width. Offered with Buna-N gaskets and overlaps. Laser welding, rolling, bending, and sawing are provided as secondary services. Suitable for providing access into ducts. Serves pharmaceuticals, chemical, food, and HVAC industries.",No
"Modular Connections, LLC",https://www.thomasnet.com/company/modular-connections-llc-20075402/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Bessemer, AL 35022",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F20075402%2F171975.JPG&w=256&q=75,"Distributor* , Manufacturer",$10 - 24.9 Mil Revenue,2003.0,"Distributor of doors. Various types include commercial, EMI/RFI shielded, sound retardant, bullet and blast resistant doors. Capabilities include turnkey component systems suitable for new construction or renovation projects.",No
Jersey Tempered Glass,https://www.thomasnet.com/company/jersey-tempered-glass-713059/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Mount Laurel, NJ 08054",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00713059%2F383644.jpg&w=256&q=75,"Manufacturer* , Custom Manufacturer",$10 - 24.9 Mil Revenue,1976.0,"Manufacturer of tempered glass doors for architectural, automotive, and solar industries. Tinted, opaque, and transparent glass doors are provided. Custom glass doors are available. Suitable for offices, garages, and stores. Cutting and finishing are offered as secondary services.",No
"George P. Coyle & Sons, Inc.",https://www.thomasnet.com/company/george-p-coyle-sons-inc-770857/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Jacksonville, FL 32204",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00770857%2F51906.jpg&w=256&q=75,Manufacturers' Rep*,$1 - 4.9 Mil Revenue,1927.0,"Mfr's rep. of doors. Various types include coiling, garage, hollow metal, overhead, plastic, roll up, sound transmission, weather sealed and wooden doors.",No
Doors.ForSale,https://www.thomasnet.com/company/doors-forsale-30982598/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Centennial, CO 80111",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30982598%2F373234.png&w=256&q=75,"Custom Manufacturer* , Distributor",$1 Mil Revenue,2020.0,"Distributor of pocket, closet, bi-fold, barn, and sliding interior doors. Made from wood and medium density fiber (MDF) material. Offered in oak, olive, walnut, concrete, white, black, matte grey, and other color options. Available in rain, black, clear, white, mirror, and frosted glass types. Serves contractors, interior decorators, designers, architects, and project managers.",No
Teak Isle MFG,https://www.thomasnet.com/company/teak-isle-mfg-30161999/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Ocoee, FL 34761",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30161999%2F388050.png&w=256&q=75,"Custom Manufacturer* , Finishing Service Company, Custom Manufacturer - Instant Quote, Service Company",$50 - 99.9 Mil Revenue,1980.0,"Custom manufacturer doors for recreation vehicles (RVs), vans, and marine applications. Access, cabin entry, console, shower, and wind block doors are offered. Made from aluminum, steel, acrylic, polyvinyl chloride (PVC), vinyl, plywood, polycarbonate, and other materials. Capabilities include bending, CNC machining, milling, routing, thermoforming, fabrication, and welding. Prototypes and production runs are available.",No
BASX Solutions,https://www.thomasnet.com/company/basx-solutions-30837242/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Redmond, OR 97756",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30837242%2F380989.png&w=256&q=75,"Turnkey Systems Integrator* , Custom Manufacturer, Manufacturer",$5 - 9.9 Mil Revenue,,"Custom manufacturer of heavy-gauge cold-rolled tubular steel welded automatic sliding and swing doors. Comes with polyurethane powder-coated, baked, and chip-resistant door jambs. Available in variety of insert materials and heights to meet standard room dimensions. Serves the agricultural, healthcare, laboratory, pharmaceutical, airports, educational, institutional, and military industries.",No
IsoStore,https://www.thomasnet.com/company/isostore-30727995/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Boise, ID 83709",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30727995%2F330238.png&w=256&q=75,"Distributor* , Custom Manufacturer, Manufacturer",$1 - 4.9 Mil Revenue,2008.0,"Manufacturer of standard and custom sound control interior swinging doors for the construction industry. Available in 36 in. width, 80 in. height and 1 3/4 to 2 1/2 in. slab thickness with 2 3/4 in. standard backset. Features include continuous piano-style hinges, rubber perimeter seals with a fully mortised automatic door bottom and an acoustic threshold. Suitable for home theaters, offices, vocal booths, bedrooms, hotels, mixing rooms, recording studios and rooms that require high isolation for low frequencies or within the vocal range.",No
Costello Door Co.,https://www.thomasnet.com/company/costello-door-co-1033122/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Washington, PA 15301",,"Custom Manufacturer* , Manufacturer",$1 - 4.9 Mil Revenue,,"Custom manufacturer of wooden products for offices, airports, banks, hotels, hospitals, colleges, universities, commercial and residential applications. Products include beveled, fused and art glass, entrances, storefront, exterior and interior doors.",No
Rhino Vault Security Structures,https://www.thomasnet.com/company/rhino-vault-security-structures-30642928/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Royse City, TX 75189",,"Turnkey Systems Integrator* , Custom Manufacturer",$1 Mil Revenue,2006.0,Custom manufacturer of safe room doors.  Types include ballistic rated and pocket doors.,No
Vos Glass,https://www.thomasnet.com/company/vos-glass-30981398/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Grand Rapids, MI 49546",,"Custom Manufacturer* , Service Company",$10 - 24.9 Mil Revenue,1982.0,"Custom manufacturers of glass products including glazing, curtainwalls, storefronts, and doors. Glass railings, window film, skylight, mirrors, windows, and entrances are also offered. Repair and replacement services for storefronts, curtainwalls, and doors are available. Serves education, healthcare, offices, and municipal industries.",No
Total Hardware,https://www.thomasnet.com/company/total-hardware-30981750/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Newport News, VA 23606",,Distributor*,$1 - 4.9 Mil Revenue,,"Distributor of doors, frames, and hardware.",No
"Smoot Associates, Inc.",https://www.thomasnet.com/company/smoot-associates-inc-390933/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Hanover, MA 02339",,Manufacturers' Rep*,$25 - 49.9 Mil Revenue,1976.0,"Manufacturers' Representative of doors. Types of doors include stock hollow metal doors, flush wood doors, rail wood doors, fiberglass doors, access panel doors, and specialty doors.",No
Glass Systems Inc.,https://www.thomasnet.com/company/glass-systems-inc-30980996/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Lithonia, GA 30058",,Custom Manufacturer*,$10 - 24.9 Mil Revenue,1984.0,"Custom manufacturer of metal framing, glazing, and curtain walls. Glass products include window walls, sunshades, integral doors, windows, storefronts, and entrances are also offered. Installation and consultation are provided as secondary services.",No
Walters Buildings,https://www.thomasnet.com/company/walters-buildings-10055935/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,,,Custom Manufacturer*,$10 - 24.9 Mil Revenue,1958.0,"Custom manufacturer of doors. Types include sliding, cross buck slider, bi-fold, walk-in, dutch, overhead and hydraulic doors. Sliding doors are available with 3 1/2 in. thickness and adjustable lock latches. On-time delivery.",No
GHP GROUP INC.,https://www.thomasnet.com/company/ghp-group-inc-30880091/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=13,"Niles, IL 60714",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fritekit%2Fghpgroupinc.com.png&w=256&q=75,"Distributor* , Manufacturer",,,"Manufacturer of electric fireplace and heating products. Barbecue grills, smokers, fire pits, wood stoves, grates, storage racks, glass doors, electric fireplaces and gas logs are offered. Kerosene or patio heaters, pitches, floor standing dispensers, water filters and softeners are also available. Laundry and storage supplies are provided.",No
Hollow Metal Door Company,https://www.thomasnet.com/company/hollow-metal-door-company-30123665/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Wichita, KS 67226",,Distributor*,$1 - 4.9 Mil Revenue,1970.0,"Distributor of doors and frames. Materials of construction include hollow metal, stainless steel, wood, and fiberglass. Accessories include hinges, lock sets, door closers, exit devices, cylinders, and access control systems. Markets served include commercial, architectural, security, and construction.",No
Patriot Products LLC,https://www.thomasnet.com/company/patriot-products-llc-30874176/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Franklin, IN 46131",,"Turnkey Systems Integrator* , Manufacturer",$1 - 4.9 Mil Revenue,2007.0,"Design, manufacturing and installation of military fire training products and systems. Products include shooting targets, aerial targets, moving target systems, target actuators, ballistic shields, ballistic walls, shooting ranges, bullet traps, live fire shoot house systems and modular training systems. GSA approved.",No
Pacific Bulletproof Co.,https://www.thomasnet.com/company/pacific-bulletproof-co-10081032/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Anaheim, CA 92807",,"Custom Manufacturer* , Manufacturer",$1 - 4.9 Mil Revenue,1994.0,"Custom manufacturer of bullet resistant doors. Types of bullet resistant doors include steel, wood, half vision & full vision doors. Doors are available with peep holes, view windows, door scopes, aluminum frame, hardware, anti-jimmy plate, ADA lockset,  hinge, prime painted finish & laminated colors. Applications include cashing stores, money counting rooms, pharmacies, ticket windows & payday loan locations.",No
"Euro-Wall Systems, LLC",https://www.thomasnet.com/company/euro-wall-systems-llc-30796206/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Port Charlotte, FL 33980",/_sda/_next/image?url=https%3A%2F%2Freports.thomasnet.com%2Ftnetdash%2Flogos%2Feuro-wallsystemsllc.JPG&w=256&q=75,Manufacturer*,$5 - 9.9 Mil Revenue,2011.0,"Manufacturer of residential and commercial bi-fold, folding, glass, French, and patio doors.",No
Gentleman Door Co.,https://www.thomasnet.com/company/gentleman-door-co-10063997/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Yorklyn, DE 19736",,Manufacturer*,$1 Mil Revenue,1994.0,"Manufacturer of door openers for residential and commercial applications. Products include controls, sliding, patio, wall mounted and pocket automatic doors, swing door and window openers.",No
"Old City Millwork, Inc.",https://www.thomasnet.com/company/old-city-millwork-inc-30756189/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Memphis, TN 38112",,Custom Manufacturer*,$1 - 4.9 Mil Revenue,2006.0,"Custom manufacturer of wood products for residential and commercial markets. Products include doors, mouldings, casework, countertops, cabinetry, and furniture. Capability includes architectural millwork.",No
Hunt Hardwood,https://www.thomasnet.com/company/hunt-hardwood-30981672/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Arlington, MA 02476",,Custom Manufacturer*,,,"Manufacturer of custom wood and timber products. Beams, boards, decking, doors, flooring, tables, and walls are offered.",No
Colorado Doorways,https://www.thomasnet.com/company/colorado-doorways-30171833/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Denver, CO 80216",,Distributor*,$50 - 99.9 Mil Revenue,1973.0,"Distributor Of Doorways. Products Include Doors, Frames, Hardware & Fabrication Products.",No
Michigan Lumber,https://www.thomasnet.com/company/michigan-lumber-971423/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Flint, MI 48503",,"Custom Manufacturer* , Distributor",$5 - 9.9 Mil Revenue,1916.0,"Custom manufacturer of wood products for commercial applications. Decking, barn doors, mouldings, shelvings, and cabinets are offered. Millwork services are also available. Distributor of building materials such as oriented strand boards, pressure treated lumber, and wood veneers. Siding and windows are also provided. Suitable for office buildings, restaurants, colleges, and churches.",No
"F&b Architectural Millwork, Inc",https://www.thomasnet.com/company/f-b-architectural-millwork-inc-30116245/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Washington, NJ 07882",,"Custom Manufacturer* , Manufacturer",$1 - 4.9 Mil Revenue,,"Manufacturer Of Millwork Including Custom Doors, Mouldings, Reproduction & Radius Millwork, Mantels & Custom Doors.",No
EMSystms Group,https://www.thomasnet.com/company/emsystms-group-30736322/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Toa Baja, PR 00949",,"Turnkey Systems Integrator* , Service Company",$1 - 4.9 Mil Revenue,1993.0,"Systems integrator of banking and financial equipment. Products include POS, security doors, kiosks, discriminator currency counter, document and check scanners, card issuance, queuing and money handling systems, financial cabinets and coin and bill counters. Markets served include banks, credit unions, government, hospitals and hotels.",No
"Benchmark Products, Inc",https://www.thomasnet.com/company/benchmark-products-inc-30176073/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Waukegan, IL 60085",,Distributor*,$5 - 9.9 Mil Revenue,1982.0,"Distributor of sterilizing products including cleaning supplies for controlled environments, disinfectants, gloves, fluid handling, mats, static control, swabs and wipers.",No
Forcible Entry Equipment,https://www.thomasnet.com/company/forcible-entry-equipment-30798889/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Shingle Springs, CA 95682",,Manufacturer*,,,"Manufacturer of forcible entry devices. Products include catalyst force door, forcible entry door, cutting products and axe chop.",No
Quality Windows,https://www.thomasnet.com/company/quality-windows-20103383/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Weymouth, MA 02189",,Distributor*,,2000.0,"Distributor of doors, roofing, siding & windows.",No
Foundation Building Materials,https://www.thomasnet.com/company/foundation-building-materials-1238086/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,,,Distributor*,$1 - 4.9 Mil Revenue,1964.0,"Distributor of building materials and construction supplies. Drywall, studs, power tools, fasteners, acoustic ceilings, insulation, stucco products, doors, door frames, and hardware are available. Fiberglass reinforced plastic (FRP) panels and exterior insulation and finish systems (EIFS) are also offered. Accessories can be provided. Products are available for residential and commercial construction projects.",No
BSA Building Supply,https://www.thomasnet.com/company/bsa-building-supply-30943483/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Powder Springs, GA 30127",,Distributor*,,,"Distributor of building products for contractors. Residential roofing, siding, vinyl windows and fasteners are available. Shingles, leak barriers, shutters, fascia, soffits, adhesives, sandpaper, cutting tools, anchors and abrasives are also offered.",No
"R & R Window Contractors, Inc.",https://www.thomasnet.com/company/r-r-window-contractors-inc-30981281/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Easthampton, MA 01027",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fritekit%2Frrwindow.com.jpeg&w=256&q=75,Custom Manufacturer*,$10 - 24.9 Mil Revenue,1978.0,"Custom manufacturer of glass, glazing, and windows. Storefronts, curtain walls, wall panels, skylights, doors, and entrances are offered. Design assistance, engineering, furnishing, and installation are offered as secondary services.",No
"Shirey Overhead Doors, Inc.",https://www.thomasnet.com/company/shirey-overhead-doors-inc-1018020/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"New Bethlehem, PA 16242",,"Distributor* , Service Company",$1 - 4.9 Mil Revenue,1972.0,"Wood, vinyl & aluminum windows. Wood & wood composite interior doors, & wood, steel, wood composite & fiberglass exterior doors.",No
New Vision Glass Doors and Partitions,https://www.thomasnet.com/company/new-vision-glass-doors-and-partitions-30731654/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Tarzana, CA 91356",,Custom Manufacturer*,$1 - 4.9 Mil Revenue,1997.0,"Custom manufacturer of glass doors. Products include interior office sliding doors, glass partitions, office swing glass and herculite doors. Other products include interior and exterior glass railings.",No
Welda Windows and Doors,https://www.thomasnet.com/company/welda-windows-and-doors-30701502/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Toronto, ON M3H5X2",,Manufacturer*,,1995.0,,No
Corona Millworks,https://www.thomasnet.com/company/corona-millworks-30756540/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Chino, CA 91710",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fritekit%2Fcoronamillworks.com.png&w=256&q=75,Custom Manufacturer*,$10 - 24.9 Mil Revenue,1995.0,"Custom manufacturer of wood doors. Products include cabinets and drawer fronts and boxes, hardware, accents and frames.",No
"Nicolet Glass, Inc.",https://www.thomasnet.com/company/nicolet-glass-inc-30981108/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Redding, CA 96002",,"Service Company* , Distributor",$5 - 9.9 Mil Revenue,1974.0,"Installation and repair services for glass and glazing. Mirrors, doors, screens, auto, and RV glasses are offered. Manufacturer warranty is also available.",No
Atlantic Heritage Corp.,https://www.thomasnet.com/company/atlantic-heritage-corp-1286975/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Rose Hill, NC 28458",,"Service Company* , Custom Manufacturer, Manufacturer",,,Architecutral Millwork Service,No
Gehres Windows & Doors Ltd.,https://www.thomasnet.com/company/gehres-windows-doors-ltd-30694314/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"St Catharines, ON L2N1L1",,Distributor*,$1 - 4.9 Mil Revenue,1985.0,,No
Bolser Iron & Metal Works,https://www.thomasnet.com/company/bolser-iron-metal-works-735403/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=14,"Tampa, FL 33605",,"Manufacturer* , Custom Manufacturer, Service Company",,1980.0,Manufacturer Of Sheet Metal Fabrications; Steel Erecting Service,No
"SwissShade + Security, Inc.",https://www.thomasnet.com/company/swissshade-security-inc-30738292/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=15,"Tucson, AZ 85735",,Manufacturer*,$1 - 4.9 Mil Revenue,1998.0,"Manufacturer of windows, doors and awnings for residential and commercial sectors. Products include aluminum entrance doors, folding and sliding doors, retractable awnings, shutters and sun screens.",No
